Empresa;phone;phoneUnformatted;Enviado;Retorno;;Enviados;Retornos
Gih modas;+55 11 94245-4686;5,51194E+12;sim;;;16;2
Jessica Modas;+55 11 94894-8733;5,51195E+12;sim;;;;
Loja da Nice;+55 11 96790-4232;5,51197E+12;sim;;;;
Mega Lojão Brás;+55 11 91417-7419;5,51191E+12;sim;;;;
MW STORE;+55 11 93494-6625;5,51193E+12;sim;;;;
Gih modas;+55 11 94245-4686;+55 11 94245-4686;sim;;;;
Jessica Modas;+55 11 94894-8733;+55 11 94894-8733;sim;;;;
Loja da Nice;+55 11 96790-4232;+55 11 96790-4232;sim;;;;
Mega Lojão Brás;+55 11 91417-7419;+55 11 91417-7419;sim;;;;
MW STORE;+55 11 93494-6625;+55 11 93494-6625;sim;;;;
MY LOVELY Oficial Loja de Roupa feminina PERUS;+55 11 98658-2846;+55 11 98658-2846;sim;;;;
JOHN STORE - Loja de Roupas - Zona Sul SP - Distribuidor;+55 11 98274-0061;+55 11 98274-0061;sim;;;;
Nuance moda feminina;+55 11 99964-6060;+55 11 99964-6060;sim;;;;
Móveis planejados MG;+55 11 97261-8025;+55 11 97261-8025;sim;;;;
MDK Informatica E Acessórios;+55 11 97327-1291;+55 11 97327-1291;sim;sim;;;
Extremo store;5,51197E+12;5,51197E+12;sim;sim;;;
Priscila Móveis;+55 11 5926-7443;551159267443;;;;;
Loja China Pipas;+55 11 98809-3646;5511988093646;;;;;
Loja Santiago;+55 11 96894-4668;5511968944668;;;;;
CASA DE TINTAS PARELHEIROS LTDA;+55 11 2829-8260;551128298260;;;;;
Amora Cosméticos;+55 11 96603-5132;5511966035132;;;;;
MTWO MOBILE;+55 11 96219-0541;5511962190541;;;;;
D.D Lingerie E Moda Praia;+55 11 94152-2614;5511941522614;;;;;
Lojão do Real;+55 11 95376-5417;5511953765417;;;;;
Casa De Racão Do Walter;+55 11 5920-8125;551159208125;;;;;
Leonny Tecidos e Aviamentos;+55 11 93262-7235;5511932627235;;;;;
Big Festa;+55 11 3919-4695;551139194695;;;;;
Best Acessórios Para Celular;+55 11 95031-1575;5511950311575;;;;;
Magazine Aviamentos;+55 11 2645-7030;551126457030;;;;;
Loja do 1 Real - 1 Real Shop;+55 11 5928-1957;551159281957;;;;;
Susil Modas;+55 11 98393-3111;5511983933111;;;;;
Posto De Gasolina - Colônia;+55 11 5921-4545;551159214545;;;;;
Ninna Modas;+55 11 5960-9641;551159609641;;;;;
K e B Utilidades do Lar;+55 11 4165-2447;551141652447;;;;;
Center Vargem Grande;+55 11 5920-3582;551159203582;;;;;
Castelinho;+55 11 3917-0741;551139170741;;;;;
Estrela Lojas;+55 11 99323-9065;5511993239065;;;;;
Viva Mix Loja 3 (Myrna);+55 11 5672-2100;551156722100;;;;;
Mercado Sacolão Hortfruti Parelheiros;+55 11 93024-6499;5511930246499;;;;;
SCALINY MODAS;+55 11 5920-2826;551159202826;;;;;
Praça Júlio César de Campos;+55 11 5926-6500;551159266500;;;;;
Loja R & A Brinquedos e Acessórios;+55 11 93904-8889;5511939048889;;;;;
Móveis Conquista;+55 11 5921-7009;551159217009;;;;;
Lojas Paulistanas;+55 11 97852-1555;5511978521555;;;;;
Sobrinhos Comércios de Utilidades em Geral;+55 11 5920-8195;551159208195;;;;;
Padoca;+55 11 5920-8874;551159208874;;;;;
Supermercado Hanjo Mercúrio;+55 11 97572-9303;5511975729303;;;;;
Lojas Paulistanas;+55 11 5929-3123;551159293123;;;;;
Estrela Lojas;+55 11 99323-9065;5511993239065;;;;;
Blue Pets;+55 11 99731-6005;5511997316005;;;;;
Lojas Atuante;+55 11 5599-6498;551155996498;;;;;
Lulu moda Íntima;+55 11 94217-4642;5511942174642;;;;;
Lojas Victor;+55 11 2955-5808;551129555808;;;;;
Loja D'Fabrica;+55 11 94773-6259;5511947736259;;;;;
Lojas Markem Novo Conceito;+55 11 99723-0318;5511997230318;;;;;
Xcell Eletronics;+55 11 5921-3601;551159213601;;;;;
Lojas Sales;+55 11 5833-6151;551158336151;;;;;
Dreammodaoficial;+55 11 98380-8705;5511983808705;;;;;
WF Roupas e eletrônicos;+55 11 99860-7359;5511998607359;;;;;
JK MARCENARIA;+55 11 97328-0550;5511973280550;;;;;
Móveis planejados;+55 11 96496-2113;5511964962113;;;;;
